City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,25.99,83,75,5.14,CC,1731518813
1,port-aux-francais,-49.35,70.2167,3.74,90,100,12.13,TF,1731518815
2,jamestown,42.097,-79.2353,8.9,41,0,2.68,US,1731518731
3,badger,64.8,-147.5333,-17.88,78,75,1.54,US,1731518817
4,iskateley,67.6803,53.1512,-1.82,98,100,4.39,RU,1731518818
5,adamstown,-25.066,-130.1015,21.61,77,100,4.06,PN,1731518819
6,isafjordur,66.0755,-23.124,7.02,53,40,4.63,IS,1731518820
7,khandyga,62.6667,135.6,-28.18,96,23,1.34,RU,1731518821
8,uturoa,-16.7333,-151.4333,26.23,74,83,7.38,PF,1731518823
9,happy valley-goose bay,53.3168,-60.3315,-2.83,50,20,4.63,CA,1731518824
10,punta arenas,-53.15,-70.9167,13.06,44,40,10.8,CL,1731518825
11,atafu village,-8.5421,-172.5159,28.41,76,10,6.34,TK,1731518826
12,stanley,54.868,-1.6985,10.29,91,40,4.63,GB,1731518827
13,kavaratti,10.5669,72.642,28.82,68,100,1.44,IN,1731518828
14,puerto cabezas,14.0351,-83.3888,30.98,74,40,3.09,NI,1731518829
15,edinburgh of the seven seas,-37.0676,-12.3116,16.38,89,5,9.64,SH,1731518716
16,mangaratiba,-22.9597,-44.0406,20.55,97,100,4.93,BR,1731518832
17,puerto natales,-51.7236,-72.4875,13.25,38,40,15.43,CL,1731518833
18,novyy urgal,51.0736,132.5642,-10.55,88,100,1.58,RU,1731518834
19,sumbawa besar,-8.5,117.4333,24.21,82,100,1.57,ID,1731518835
20,pacasmayo,-7.4006,-79.5714,17.91,86,100,4.26,PE,1731518836
21,invercargill,-46.4,168.35,7.23,96,89,1.65,NZ,1731518839
22,grytviken,-54.2811,-36.5092,-0.83,85,100,1.64,GS,1731518840
23,yayva,59.3303,57.2641,-1.7,97,100,3.37,RU,1731518841
24,sandnessjoen,66.0217,12.6316,7.06,70,75,10.29,NO,1731518842
25,st. john's,47.5649,-52.7093,4.98,97,100,11.32,CA,1731518555
26,mount gambier,-37.8333,140.7667,6.47,88,42,1.45,AU,1731518844
27,haiku-pauwela,20.9219,-156.3051,22.36,91,40,8.05,US,1731518846
28,iqaluit,63.7506,-68.5145,-10.15,67,75,1.54,CA,1731518847
29,povolzhskiy,53.5854,49.7629,-1.21,82,100,3.73,RU,1731518849
30,yellowknife,62.456,-114.3525,-12.55,97,75,3.6,CA,1731518851
31,muromtsevo,56.3724,75.2418,-10.78,96,91,2.68,RU,1731518852
32,wailua homesteads,22.0669,-159.378,23.44,90,20,8.23,US,1731518853
33,trondheim,63.4305,10.3951,7.03,88,100,3.13,NO,1731518854
34,huilong,31.8111,121.655,18.26,86,44,3.59,CN,1731518855
35,kone,-21.0595,164.8658,21.21,94,54,2.02,NC,1731518856
36,albany,42.6001,-73.9662,6.07,52,0,1.34,US,1731518680
37,bethel,41.3712,-73.414,8.9,40,0,4.63,US,1731518733
38,olonkinbyen,70.9221,-8.7187,-2.45,61,16,13.34,SJ,1731518860
39,alice springs,-23.7,133.8833,16.75,36,58,1.54,AU,1731518861
40,altai,46.3722,96.2583,-4.8,58,14,5.89,MN,1731518862
41,bilibino,68.0546,166.4372,-20.73,100,60,2.07,RU,1731518863
42,praia da vitoria,38.7333,-27.0667,20.14,77,75,5.3,PT,1731518654
43,georgetown,5.4112,100.3354,27.96,82,20,2.24,MY,1731518596
44,ati,13.2154,18.3353,31.91,15,3,4.63,TD,1731518867
45,acapulco de juarez,16.8634,-99.8901,29.9,74,75,3.09,MX,1731518861
46,shancheng,34.7953,116.0817,15.33,94,100,2.07,CN,1731518869
47,lebu,-37.6167,-73.65,15.36,69,46,8.47,CL,1731518587
48,blackmans bay,-43.0167,147.3167,9.07,76,100,1.86,AU,1731518871
49,tralee,52.2704,-9.7026,7.14,100,40,1.03,IE,1731518582
50,namtsy,62.7161,129.6658,-24.89,100,100,2.16,RU,1731518873
51,hermanus,-34.4187,19.2345,17.67,60,0,7.74,ZA,1731518875
52,tura,25.5198,90.2201,18.48,78,0,1.92,IN,1731518876
53,zemio,5.0314,25.1361,25.82,69,32,2.37,CF,1731518877
54,lospalos,-8.5186,127.0025,22.15,90,38,1.04,TL,1731518878
55,tumayr,25.7039,45.868,22.31,28,4,4.35,SA,1731518879
56,ust-nera,64.5667,143.2,-30.59,97,65,0.44,RU,1731518880
57,nuku'alofa,-21.1333,-175.2,23.19,94,75,3.09,TO,1731518881
58,coquimbo,-29.9533,-71.3436,18.88,64,100,4.12,CL,1731518600
59,longboat key,27.4125,-82.659,30.03,58,40,6.17,US,1731518884
60,margaret river,-33.95,115.0667,13.33,94,79,4.77,AU,1731518885
61,alesund,62.4723,6.1549,10.42,79,75,8.75,NO,1731518886
62,ujae,8.9322,165.7642,28.72,69,52,7.82,MH,1731518887
63,fuqing,25.725,119.3794,20.07,92,100,2.78,CN,1731518888
64,dudinka,69.4058,86.1778,-24.54,98,99,2.22,RU,1731518889
65,port mathurin,-19.6833,63.4167,24.58,84,2,7.21,MU,1731518890
66,dien bien phu,21.3833,103.0167,23.43,76,72,0.52,VN,1731518892
67,sinabang,2.4803,96.3801,26.3,87,92,1.97,ID,1731518893
68,aasiaat,68.7098,-52.8699,-2.02,93,100,11.82,GL,1731518894
69,plainview,40.7765,-73.4673,8.77,40,0,4.63,US,1731518895
70,hampton bays,40.869,-72.5176,8.02,47,0,6.71,US,1731518896
71,ilulissat,69.2167,-51.1,0.01,74,75,7.2,GL,1731518898
72,college,64.8569,-147.8028,-17.83,79,75,1.54,US,1731518900
73,waitangi,-43.9535,-176.5597,10.46,76,0,3.19,NZ,1731518901
74,vorkuta,67.5,64.0,-26.5,100,93,2.5,RU,1731518902
75,roma,43.2128,-75.4557,6.49,52,0,2.57,US,1731518801
76,sur,22.5667,59.5289,27.37,59,10,2.48,OM,1731518757
77,puerto ayora,-0.7393,-90.3518,24.19,79,31,3.13,EC,1731518905
78,masterton,-40.9597,175.6575,12.29,92,100,2.02,NZ,1731518908
79,papatowai,-46.5619,169.4708,8.65,94,100,1.26,NZ,1731518909
80,petropavlovsk-kamchatsky,53.0452,158.6483,-12.67,61,0,4.0,RU,1731518910
81,vilyuchinsk,52.9306,158.4028,-11.85,88,6,4.05,RU,1731518686
82,new norfolk,-42.7826,147.0587,8.84,90,100,1.42,AU,1731518815
83,ushuaia,-54.8,-68.3,10.81,43,0,2.57,AR,1731518773
84,kodiak,57.79,-152.4072,1.73,44,0,4.63,US,1731518916
85,cabo san lucas,22.8909,-109.9124,29.17,45,0,3.13,MX,1731518917
86,suva,-18.1416,178.4415,24.71,100,75,1.54,FJ,1731518918
87,tromso,69.6496,18.957,4.01,81,75,8.75,NO,1731518919
88,flying fish cove,-10.4217,105.6791,26.82,100,100,4.12,CX,1731518858
89,sinop,41.7711,34.8709,9.13,93,96,0.5,TR,1731518922
90,bereznik,62.8551,42.7072,1.69,88,100,4.24,RU,1731518923
91,akureyri,65.6835,-18.0878,7.96,53,20,10.8,IS,1731518924
92,gamay,12.3854,125.2979,24.35,96,100,1.21,PH,1731518925
93,viriat,46.2548,5.2157,4.97,91,100,1.66,FR,1731518926
94,kongolo,-5.3833,27.0,24.08,70,33,1.87,CD,1731518927
95,prince rupert,54.3161,-130.3201,8.83,89,100,3.6,CA,1731518929
96,kolosovka,56.4678,73.611,-13.11,95,93,4.32,RU,1731518821
97,senanga,-16.1167,23.2667,27.08,48,96,3.0,ZM,1731518931
98,muisne,0.6,-80.0333,23.38,76,100,4.34,EC,1731518933
99,susanville,40.4163,-120.653,7.68,59,100,0.45,US,1731518830
100,avarua,-21.2078,-159.775,22.03,78,100,2.57,CK,1731518935
101,selfoss,63.9331,-20.9971,6.14,80,93,3.65,IS,1731518937
102,teknaf,20.8624,92.3058,24.37,69,2,4.33,BD,1731518938
103,oranjemund,-28.55,16.4333,15.45,86,49,9.93,NA,1731518939
104,chinchilla,-26.75,150.6333,18.9,95,42,1.34,AU,1731518940
105,lensk,60.7253,114.9278,-20.53,100,87,2.17,RU,1731518941
106,chita,52.0333,113.55,-15.06,61,4,1.0,RU,1731518942
107,fortuna foothills,32.6578,-114.4119,19.05,21,0,3.09,US,1731518943
108,port alfred,-33.5906,26.891,17.32,78,92,3.93,ZA,1731518945
109,bredasdorp,-34.5322,20.0403,16.72,64,86,6.3,ZA,1731518946
110,pindushi,62.9152,34.58,2.93,91,100,5.35,RU,1731518947
111,mount isa,-20.7333,139.5,29.87,23,62,4.63,AU,1731518948
112,balakhta,55.38,91.6,-11.63,86,77,1.15,RU,1731518949
113,thinadhoo,0.5333,72.9333,28.22,75,30,4.72,MV,1731518950
114,ryotsu-minato,38.0833,138.4333,9.89,67,99,2.44,JP,1731518951
115,minas de marcona,-15.2119,-75.1103,20.09,56,96,3.68,PE,1731518953
116,pisco,-13.7,-76.2167,20.57,83,100,4.12,PE,1731518713
117,necochea,-38.5473,-58.7368,22.62,42,50,2.74,AR,1731518955
118,vorgashor,67.5833,63.95,-24.3,100,97,3.36,RU,1731518957
119,apen,53.2167,7.8,10.55,90,100,3.99,DE,1731518958
120,fale old settlement,-9.3852,-171.2468,28.4,77,3,6.72,TK,1731518959
121,ola,59.5833,151.2833,-18.95,76,72,3.64,RU,1731518961
122,lamu,-2.2717,40.902,25.65,86,34,2.43,KE,1731518962
123,priyutnoye,46.1011,43.5072,3.83,68,72,5.81,RU,1731518963
124,saudarkrokur,65.7461,-19.6394,5.0,83,27,7.53,IS,1731518964
